,Species,eBird Link,Info
331,Pin-tailed Snipe,/species/pitsni/IN-PB-SH,"Cryptic shorebird of wetlands, wet meadows, and both flooded and dry agricultural fields. Extremely similar in appearance to other snipe, particularly Swinhoe's Snipe; careful study and photography usually required to confirm identification. Namesake diagnostic thin gray outer tail feathers are only visible when tail is spread. Lacks Common Snipe's eye-catching white trailing edge of the wing. Averages less buffy than both Common and Swinhoe's, with slightly bolder white edgings to the wing feathers; darker and more richly colored than Latham's Snipe. In flight, toes project further beyond tail than in other Asian snipe. When flushed, gives a rasping call that is not as loud as Common Snipe’s call; also flies less erratically than that species."
332,Dark-sided Flycatcher,/species/dasfly/IN-PB-SH,Small brown flycatcher with dark smudging on the breast and sides that lend it a “vested” appearance. Tends to prefer higher-elevation forests for breeding than Asian Brown and Gray-streaked Flycatchers but uses a variety of open forests and gardens on migration and in winter. The generally darker appearance of this species when compared to Asian Brown makes the eyering more striking.
333,White-tailed Stonechat,/species/whtsto2/IN-PB-SH,"An active little bird that inhabits reeds and tall grasses in low-lying wetlands. Flicks its tail often to reveal white feathers with black edges and tips. The male has a black hood with a neat border along the collar, white underparts, and a red patch on the breast. Its back is black in the breeding season and brown with streaks in the nonbreeding season. The female is grayish-brown with an indistinct supercilium and a white throat. Both sexes similar to Common Stonechat, but female White-tailed Stonechat is paler, while the male appears whiter below and shows the white in the tail when flicked or in flight."
334,Rosy Starling,/species/rossta2/IN-PB-SH,"Adult is unique, a vision in glossy black and pale pink. Juvenile is brown with an orange bill. Breeds in colonies on steppes and winters in open and wooded habitats. Gathers in huge numbers to roost, often mixing with other species at roost sites. Flocking birds keep up a constant cacophony of dry chattering calls."
335,Common Crane,/species/comcra/IN-PB-SH,"Generally uncommon in open, mainly wild country. Breeds from reedy lakeshores to boggy clearings in boreal forest, winters in wetlands and farmland. Very large and tall, with distinctive ""bustle"" on lower back. Adult has black-and-white head pattern, small red crown patch. Flight unhurried, with neck outstretched (unlike herons), and stiff wingbeats quickest on upstroke; groups often fly in V-formation, like geese. Loud, rolling calls carry long distances."
336,Wallcreeper,/species/wallcr1/IN-PB-SH,"Unmistakable, but difficult to spot on rock faces. Spectacular in flight, with broad black, red, and white-spotted wings resembling a giant butterfly. Usually found on rock faces in high mountainous regions, but also breeds in steep gorges lower down and can even be found on tall buildings in winter. Breeding male has a black throat; winter males and all females have white throats. Rarely-heard song is a steadily rising whistle."
337,Hen Harrier,/species/norhar1/IN-PB-SH,"Medium-sized harrier, flies with wings held in a V-shape, low over open fields and marshes, listening for rodents lurking below. Distinctive foraging behavior and conspicuous white patch on rump in all plumages. Five long primary ‘finger tips’ prominent in flight. Females and immatures are warm brown with streaky breasts. Adult male has plain mid-gray wings with black wingtips and paler belly."
338,Oriental Pied-Hornbill,/species/orphor1/IN-PB-SH,"A small black-and-white hornbill with a whitish-yellow bill and “helmet.” Primarily black, but with a white belly, facial patch, and wing and tail edges. Sexes are similar, but males have a much larger “helmet” than the female. More tolerant of human habitation than other hornbills and can sometimes be found in large city parks as well as open forests and edges. Noisy and social, often giving loud yapping calls to flockmates."
339,Stork-billed Kingfisher,/species/stbkin1/IN-PB-SH,"Massive kingfisher with a large scarlet bill. Head is olive-brown with dark green-blue upperparts and buff underparts. Wings and tail bluer, with rump even paler blue, obvious in flight. Juvenile has dusky edges to feathers of breast and hindneck. Vocal in breeding season, giving a loud, far-reaching “peu-peu-pow” whistle, while its regular contact call is a loud laughing “ka-ka-ka” repeated 6-10 times. Prefers large streams, rivers, and the edges of large water bodies with vegetated banks."
340,Richard's Pipit,/species/ricpip1/IN-PB-SH,"Large, robust, almost thrushlike pipit given the big bill, long and pale eyebrow, and long tail. If perched off the ground the very large hind claws and long legs are obvious. Flight is strong, heavy, and bounding. Utters ""pshee"" call when flushed. Found in open grasslands, stubble fields, farmland, dunes, and salt marshes. Separation from other large pipits can be difficult; pay attention to call and wing pattern."
341,Pallid Harrier,/species/palhar1/IN-PB-SH,"Males are ghostly gray above with black wingtip wedges. Females are more difficult to separate from other harriers; pay attention to the underwings with their barred primaries and dark secondaries. Juveniles are rufous and similar to Montagu’s, but appear dark rather than pale faced. In flight, a bit bulkier than Montagu’s but much more buoyant than Hen Harrier. Found in steppes, wet grassland, agricultural areas and other open spaces. Sometimes forms flocks outside of the breeding season, occasionally mixing with other harrier species."
342,Watercock,/species/waterc1/IN-PB-SH,"Large, distinctive marsh dweller, elusive and often difficult to see in the heavily vegetated wet fields and marshes it inhabits. Male is unmistakable, with black body, brown-edged wing coverts, and red-and-yellow bill with raised, spiky red frontal shield (unlike smaller moorhen). Females and immature are similarly large but speckled brown above with tan faces, and lack male’s frontal shield. Males are very vocal when breeding, producing liquid-sounding gulps comparable to a water bottle emptying. Both sexes make a range of incisive, guttural clucking and creaking calls, as well as a sharp “keek” in alarm."
343,Common Merganser,/species/commer/IN-PB-SH,"Large duck with a sleek body and thin red bill. Breeding males have a dark green head and mostly white body with peachy blush on underparts. Females and immature males have rusty brown head and gray bodies with a cleanly demarcated white throat. Feeds in rivers, lakes, and large ponds by diving to catch fish. Hardy in winter, often staying as far north as open water permits."
344,Desert Wheatear,/species/deswhe1/IN-PB-SH,"Small dark-winged bird found in dry, open areas with sparse vegetation. Frequently seen perched up on posts, telephone lines, and rock mounds. Breeding male is soft brown above and pale below with a tan breast and a jet-black face, wings, and tail; nonbreeding male’s face is mottled instead of solid black. Female is more modestly colored and is gray above with less extensive black on the wings. Beware of very similar female Northern Wheatear, which tends to be warmer-colored, especially on the breast and has more extensive white in the tail than Desert Wheatear. Bright white rump in both sexes contrast sharply with black tail when in flight. The male’s song starts out with brief series of short, sweet whistles, and ends with a mellow rolling note. Calls are dry and somewhat chattery."
345,Greater Flamingo,/species/grefla3/IN-PB-SH,"Distributed from Africa and southern Europe through West Asia to South Asia. Very large, with long, ""coat hanger"" neck, big kinked bill, and very long pinkish legs. Plumage at rest whitish with pale pink blush and some deep pink often visible on closed wings. Flies with long neck and legs extended, when deep pink-and-black wing pattern striking."
